sdss_name,u_url,g_url,r_url,i_url,z_url
301_4874_2_527,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4874/2/frame-u-004874-2-0527.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4874/2/frame-g-004874-2-0527.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4874/2/frame-r-004874-2-0527.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4874/2/frame-i-004874-2-0527.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4874/2/frame-z-004874-2-0527.fits.bz2
301_4184_3_62,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4184/3/frame-u-004184-3-0062.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4184/3/frame-g-004184-3-0062.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4184/3/frame-r-004184-3-0062.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4184/3/frame-i-004184-3-0062.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4184/3/frame-z-004184-3-0062.fits.bz2
301_125_3_426,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/125/3/frame-u-000125-3-0426.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/125/3/frame-g-000125-3-0426.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/125/3/frame-r-000125-3-0426.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/125/3/frame-i-000125-3-0426.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/125/3/frame-z-000125-3-0426.fits.bz2
301_3836_5_252,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3836/5/frame-u-003836-5-0252.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3836/5/frame-g-003836-5-0252.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3836/5/frame-r-003836-5-0252.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3836/5/frame-i-003836-5-0252.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3836/5/frame-z-003836-5-0252.fits.bz2
301_4930_4_220,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4930/4/frame-u-004930-4-0220.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4930/4/frame-g-004930-4-0220.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4930/4/frame-r-004930-4-0220.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4930/4/frame-i-004930-4-0220.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/4930/4/frame-z-004930-4-0220.fits.bz2
301_2709_3_164,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2709/3/frame-u-002709-3-0164.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2709/3/frame-g-002709-3-0164.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2709/3/frame-r-002709-3-0164.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2709/3/frame-i-002709-3-0164.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2709/3/frame-z-002709-3-0164.fits.bz2
301_1907_3_180,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1907/3/frame-u-001907-3-0180.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1907/3/frame-g-001907-3-0180.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1907/3/frame-r-001907-3-0180.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1907/3/frame-i-001907-3-0180.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/1907/3/frame-z-001907-3-0180.fits.bz2
301_2507_5_56,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2507/5/frame-u-002507-5-0056.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2507/5/frame-g-002507-5-0056.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2507/5/frame-r-002507-5-0056.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2507/5/frame-i-002507-5-0056.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/2507/5/frame-z-002507-5-0056.fits.bz2
301_5183_5_202,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/5183/5/frame-u-005183-5-0202.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/5183/5/frame-g-005183-5-0202.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/5183/5/frame-r-005183-5-0202.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/5183/5/frame-i-005183-5-0202.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/5183/5/frame-z-005183-5-0202.fits.bz2
301_3367_6_82,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3367/6/frame-u-003367-6-0082.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3367/6/frame-g-003367-6-0082.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3367/6/frame-r-003367-6-0082.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3367/6/frame-i-003367-6-0082.fits.bz2,https://dr18.sdss.org/sas/dr18/prior-surveys/sdss4-dr17-eboss/photoObj/frames/301/3367/6/frame-z-003367-6-0082.fits.bz2
