hst_id,url
hst_14109_03_wfc3_uvis_f606w_icva03,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_14109_03_wfc3_uvis_f606w_icva03_drc.fits
j9l935020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j9l935020_drc.fits
ie5ce4060,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ie5ce4061_drc.fits
jbyd05010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbyd05010_drc.fits
hst_11600_09_acs_wfc_f775w_jb3709,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11600_09_acs_wfc_f775w_jb3709_drc.fits
hst_skycell-p2381x12y15_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2381x12y15_wfc3_uvis_f814w_all_drc.fits
hst_12445_8b_acs_wfc_f814w_jbtm8b,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12445_8b_acs_wfc_f814w_jbtm8b_drc.fits
hst_13420_20_acs_wfc_f814w_jcat20,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13420_20_acs_wfc_f814w_jcat20_drc.fits
hst_13669_09_wfc3_uvis_f438w_icjl09,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_13669_09_wfc3_uvis_f438w_icjl09_drc.fits
hst_11802_03_acs_wfc_f435w_jb5q03,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_11802_03_acs_wfc_f435w_jb5q03_drc.fits
jbhj55010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jbhj55010_drc.fits
hst_skycell-p2125x03y09_wfc3_uvis_f475w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2125x03y09_wfc3_uvis_f475w_all_drc.fits
hst_skycell-p2052x17y10_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2052x17y10_wfc3_uvis_f814w_all_drc.fits
ick807020,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/ick807020_drc.fits
id5g03040,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/id5g03040_drc.fits
hst_skycell-p1312x08y17_wfc3_uvis_f814w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p1312x08y17_wfc3_uvis_f814w_all_drc.fits
hst_15902_89_wfc3_uvis_f814w_ie4n89,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_15902_89_wfc3_uvis_f814w_ie4n89_drc.fits
j96f03010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j96f03010_drc.fits
j90r19040,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/j90r19040_drc.fits
hst_12442_dc_acs_wfc_f814w_jbohdc,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12442_dc_acs_wfc_f814w_jbohdc_drc.fits
jboi4g010,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/jboi4g010_drc.fits
hst_12461_gd_acs_wfc_f775w_jbwjgd,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12461_gd_acs_wfc_f775w_jbwjgd_drc.fits
iaah13070,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/iaah13070_drc.fits
hst_14704_02_acs_wfc_f814w_jd8f02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_14704_02_acs_wfc_f814w_jd8f02_drc.fits
hst_skycell-p2050x11y12_wfc3_uvis_f475w_all,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_skycell-p2050x11y12_wfc3_uvis_f475w_all_drc.fits
hst_12608_02_wfc3_uvis_f814w_ibrb02,https://mast.stsci.edu/api/v0.1/Download/file?uri=mast:HST/product/hst_12608_02_wfc3_uvis_f814w_ibrb02_drc.fits
