(150.69963305950662, 2.4274405514979662)
(44.24320975046939, -0.3455441613072885)
(32.15996563131301, -7.831215131004797)
(40.66919648908866, -0.008140690547736232)
(9.259172737694449, -1.1757153731187202)
(43.83726649234778, 0.806940346087363)
(13.622634751721701, 39.73400952122848)
(40.448874481063335, -8.403055304459798)
(24.45577090317837, -8.46731390750132)
(162.33953506864634, 51.05004872911515)
(40.43434563396539, -8.406365103700551)
(161.76479579228175, 17.281575884841672)
(23.606706188071772, 30.77548660762475)
(237.9925867319529, 19.18891356882328)
(29.786186163859455, -0.8144584557059136)
(143.66291175341303, 17.128046569587568)
(218.63978998234, 34.351558546895504)
(1.3756469794902322, 16.21862709914208)
(32.14947829034378, -7.840257633131514)
(40.67243945289517, -0.015034129803591055)
(312.45906140198684, -0.21137472459460857)
(67.68599279770532, 0.8618061622119436)
(129.77171105954164, 57.905891292500435)
(234.32055720223943, 41.40899320764073)
(150.00371280767735, 2.2735549234595)
(314.54636415584514, 5.216012328204556)
(146.32882838033325, 68.76027390790365)
(149.85334229596356, 30.754996401201787)
(313.5210466803787, -0.08800362725183539)
(54.730964625069134, -0.08795580838965167)
(54.730964625069134, -0.08795580838965167)
(11.074311218376527, 39.79202760722413)
(177.47028624622348, 22.320244998965833)
(41.641610049105395, -0.2473217767364051)
(39.993013425652975, -8.209870339219847)
(155.8711884948842, 42.185386539802785)
(150.0780189787259, 2.537641662003381)
(36.592047798457386, 0.2260772130926697)
(181.45768680126616, 49.188215538135424)
(335.53399049128353, 27.759496597611307)
(261.2669348497477, 56.295109839153426)
(40.67259449986754, -0.015160205383397086)
(11.710287500083705, 41.901634619642614)
(137.6974250052079, 53.88655668043355)
(150.07522092615767, 2.2484426248447846)
(115.18926521158427, 31.353302676126848)
(46.14873251473858, -0.20690472536735852)
(29.75760599169022, -0.8193969721831829)
(44.98874442910203, 0.8005185184195648)
(135.84845423379474, 31.663834503040057)
(40.458649385505595, -8.392102609164494)
(21.401514877988024, -0.007792988031854719)
(332.92730228861603, -3.8298722023226195)
(124.97453109709593, 42.15720747892053)
(34.29645089470438, -5.2197527307037745)
(150.3262048879632, 2.763493814623402)
(39.84244081342641, 1.0931446155728393)
(38.456253619820615, 5.2990241641968785)
(160.72144714392766, 4.24181403427194)
(122.39362436406262, 19.64945669147552)
(83.75780622792362, -5.530310324322713)
(39.3679805702388, -6.702042917878245)
(244.34102557422088, 18.678774317217048)
(186.67488533097267, 31.267802016174034)
(150.3522327936108, 41.85072414347144)
(222.28826073126703, 0.7549007698655129)
(137.3962280903416, 33.122765690261375)
(27.49155354334178, 27.431227429099756)
(13.53382263663966, 39.790194075974775)
(11.398331692573572, 41.52868548377137)
(150.27559260001956, 2.555226426234711)
(23.335045994322076, 30.370836106705667)
(40.90220244006426, 1.4095573164989759)
(109.41009137122134, 37.745528338687244)
(345.8826539879722, 0.6117005196642097)
(220.01347042157514, 31.51026720404599)
(124.98785203782671, 42.15789712944791)
(115.20306907297939, 65.27328206618391)
(352.445411298355, 0.2390644085927409)
(4.880703962170907, 34.25348096247977)
(11.597538643005501, 41.80237281955676)
(36.62821739052857, 0.2356334017432198)
(212.52147858192558, 41.75360481367963)
(169.98663280728616, 13.004666541494416)
(149.12749259287918, 51.013243010809646)
(36.63090317312999, 0.22177537841786163)
(355.287424098198, 0.009483614884225009)
(69.33971445109842, 24.38249987269781)
(159.77983981813452, 45.63413300163036)
(9.360623001142132, 39.91528259657898)
(184.7404335260116, 47.30315058987541)
(135.92683950625815, 50.46461451643243)
(124.56161480891434, 26.516971369225377)
(11.144332126138153, 41.52389128878101)
(212.34060351974676, 26.333650311444988)
(173.2392834459996, -0.5167820502881122)
(10.707965518098653, 41.27299529834597)
(46.13755288903745, -0.19171382176928342)
(36.493183691137276, 0.9082538518905998)
(1.331150343011877, 31.771195131684493)
(29.769946589705896, -0.8251497939136444)
(216.13522119368503, 22.929620339041392)
(323.3786206853335, -0.8208903704791924)
(11.202677970721451, 41.747402726502024)
(259.02581749951094, 60.353186518242026)
(186.51989067776285, -0.09414507468036264)
(3.5662074713534078, 24.274258515971834)
(36.612903071773125, 0.21258684553163146)
(222.47898286321606, 8.923023328466527)
(40.44803947407997, -8.403085061312296)
(40.67259449986754, -0.015160205383397086)
(169.12553594764375, 9.250804890795052)
(187.09923077355452, 13.038298379381786)
(39.609546088408216, -7.944596439227482)
(218.10018142066005, 32.83566812463568)
(185.76077730636044, 12.020272136016317)
(355.0941732241076, 0.9403711827567742)
(1.5913527102907172, -0.07232867858890778)
(187.4560316926923, 7.984139880486481)
(49.77508325233784, -0.020976783179659387)
(150.27869589697977, 2.5019401273569315)
(36.62821739052857, 0.2356334017432198)
(26.58941950930929, -0.8683565936748615)
(186.49893270919904, 33.56926863232436)
(313.6009138040543, -0.1537293783528698)
(186.3569501135791, 18.189883659698907)
(40.67199805348857, -0.008754981597514845)
(249.15166915588114, 40.93085521400335)
(133.51885861706816, 43.868050007814354)
(259.3492763927734, 59.729243294728896)
(8.80029363663922, 1.1937217235315956)
(349.9769985714418, 0.6397071889744981)
(46.16414090713665, -0.14706940467434396)
(170.1042674611424, -12.09540105589795)
(40.2143226977966, -8.267557165705526)
(175.88218522523243, -1.7560220605259218)
(10.898414775543333, 0.8520985040418545)
(137.4600468334465, 45.67722604560311)
(46.16470279364608, -0.2593280577461561)
(36.58889687517188, -9.821855514884888)
(41.641610049105395, -0.2473217767364051)
(27.76902276823669, 0.8097444304392368)
(11.511657983115967, 40.70486412707163)
(40.58498929032233, -8.275727751089477)
